rank,team,Grp,Elo,R32,R16,QF,SF,Final,Winner
1,Argentina,J,1873,94.5,60.7,41.3,27.7,17.8,11.3
2,Spain,H,1877,95.4,62.4,41.3,27.6,17.7,11.2
3,France,I,1870,93.2,64.6,42.8,27.0,17.0,10.4
4,England,L,1834,91.1,60.0,38.0,23.2,13.2,7.3
5,Brazil,C,1760,87.2,50.6,30.2,17.4,9.0,4.8
6,Portugal,K,1760,88.3,52.2,29.9,16.2,8.9,4.7
7,Netherlands,F,1756,86.4,48.8,28.8,15.6,8.1,4.2
8,Morocco,C,1736,83.9,48.3,27.2,14.9,7.6,3.7
9,Croatia,L,1716,80.3,45.6,24.5,12.8,6.7,3.4
10,Belgium,G,1730,86.9,51.0,27.8,14.4,7.6,3.3
11,Germany,E,1724,89.9,50.6,26.1,14.0,7.0,3.3
12,Italy,B,1702,84.0,50.0,25.8,12.8,6.2,3.1
13,Senegal,I,1706,78.4,45.4,24.8,13.0,6.4,3.0
14,Colombia,K,1701,83.4,45.6,24.1,11.9,5.9,2.9
15,Mexico,A,1675,79.5,44.7,21.6,10.3,4.8,2.2
16,Uruguay,H,1672,80.8,39.0,20.5,10.4,5.1,2.1
17,USA,D,1681,80.8,44.6,22.4,10.5,4.8,2.0
18,Switzerland,B,1654,79.4,43.9,21.1,9.8,4.2,1.8
19,Japan,F,1650,73.8,35.9,18.2,8.4,3.9,1.7
20,Denmark,A,1616,70.4,36.3,16.4,7.0,2.8,1.2
21,Iran,G,1617,73.8,36.7,16.5,7.3,3.2,1.2
22,South Korea,A,1599,68.0,33.5,15.0,6.2,2.5,1.1
23,Ecuador,E,1591,77.3,35.5,15.3,6.5,2.4,0.9
24,Turkey,D,1582,67.5,31.6,13.2,5.7,2.3,0.9
25,Egypt,G,1556,65.1,29.0,11.6,4.3,1.7,0.8
26,Australia,D,1574,64.8,29.7,12.0,4.8,2.0,0.8
27,Canada,B,1559,64.4,30.5,12.4,5.1,2.1,0.8
28,Austria,J,1585,66.4,26.8,12.2,5.1,2.1,0.7
29,Algeria,J,1560,63.7,25.2,11.0,4.5,1.8,0.6
30,Norway,I,1553,55.0,24.7,10.2,4.2,1.5,0.5
31,Paraguay,D,1528,57.9,24.2,9.6,3.5,1.2,0.5
32,Panama,L,1539,53.9,22.7,9.1,3.9,1.4,0.5
33,Tunisia,F,1498,49.5,18.8,7.1,2.4,1.0,0.4
34,Ukraine,F,1557,60.2,25.1,11.0,4.4,1.7,0.4
35,Scotland,C,1533,52.6,21.3,8.8,3.4,1.1,0.4
36,Uzbekistan,K,1489,50.7,18.8,7.0,2.5,1.0,0.3
37,Cote d'Ivoire,E,1467,57.1,20.8,7.2,2.4,0.8,0.3
38,South Africa,A,1512,54.1,23.4,8.5,2.9,1.0,0.3
39,Saudi Arabia,H,1500,54.1,19.5,8.0,2.8,0.9,0.3
40,Haiti,C,1470,42.8,15.4,6.2,2.3,0.7,0.2
41,Jordan,J,1427,38.3,11.4,3.7,1.2,0.4,0.1
42,DR Congo,K,1450,42.7,14.6,5.1,1.7,0.5,0.1
43,New Zealand,G,1440,42.9,16.1,5.1,1.4,0.5,0.1
44,Ghana,L,1460,39.1,14.0,4.8,1.6,0.5,0.1
45,Curacao,E,1382,41.7,13.3,3.9,1.0,0.3,0.1
46,Iraq,I,1450,37.0,14.5,4.9,1.5,0.4,0.1
47,Cabo Verde,H,1360,30.0,7.9,2.5,0.6,0.2,0.1
48,Qatar,B,1434,41.8,15.2,5.2,1.7,0.5,0.1
